Time      ,Source          ,Destination     ,Protocol ,Length ,Gap
16.885842 ,10.50.3.254     ,10.50.2.42      ,ICMP     ,    74 ,1.011654
17.900764 ,10.50.3.254     ,10.50.2.42      ,ICMP     ,    74 ,1.0149219999999985
18.90715  ,10.50.3.254     ,10.50.2.42      ,ICMP     ,    74 ,1.0063860000000027
19.915659 ,10.50.3.254     ,10.50.2.42      ,ICMP     ,    74 ,1.008509
20.930716 ,10.50.3.254     ,10.50.2.42      ,ICMP     ,    74 ,1.0150569999999988
21.949019 ,10.50.3.254     ,10.50.2.42      ,ICMP     ,    74 ,1.0183029999999995
22.963801 ,10.50.3.254     ,10.50.2.42      ,ICMP     ,    74 ,1.0147820000000003
23.979706 ,10.50.3.254     ,10.50.2.42      ,ICMP     ,    74 ,1.015905
24.998262 ,10.50.3.254     ,10.50.2.42      ,ICMP     ,    74 ,1.0185560000000002
26.021544 ,10.50.3.254     ,10.50.2.42      ,ICMP     ,    74 ,1.0232819999999982
27.024394 ,10.50.3.254     ,10.50.2.42      ,ICMP     ,    74 ,1.0028500000000022
28.037011 ,10.50.3.254     ,10.50.2.42      ,ICMP     ,    74 ,1.0126169999999988
29.050233 ,10.50.3.254     ,10.50.2.42      ,ICMP     ,    74 ,1.013221999999999
30.064689 ,10.50.3.254     ,10.50.2.42      ,ICMP     ,    74 ,1.0144560000000027
31.074924 ,10.50.3.254     ,10.50.2.42      ,ICMP     ,    74 ,1.010234999999998
33.155302 ,10.50.3.254     ,10.50.2.42      ,ICMP     ,    74 ,2.0803779999999996
33.177007 ,10.50.3.254     ,10.50.2.42      ,ICMP     ,    74 ,0.021705000000004304
34.172104 ,10.50.3.254     ,10.50.2.42      ,ICMP     ,    74 ,0.9950969999999941
34.649773 ,10.50.3.254     ,10.50.2.42      ,ICMP     ,    74 ,0.4776690000000059
35.192028 ,10.50.3.254     ,10.50.2.42      ,ICMP     ,    74 ,0.5422549999999973
35.668083 ,10.50.3.254     ,10.50.2.42      ,ICMP     ,    74 ,0.47605500000000234
36.195576 ,10.50.3.254     ,10.50.2.42      ,ICMP     ,    74 ,0.5274929999999998
36.67532  ,10.50.3.254     ,10.50.2.42      ,ICMP     ,    74 ,0.4797439999999966
37.214642 ,10.50.3.254     ,10.50.2.42      ,ICMP     ,    74 ,0.5393219999999985
37.683711 ,10.50.3.254     ,10.50.2.42      ,ICMP     ,    74 ,0.4690690000000046
38.234665 ,10.50.3.254     ,10.50.2.42      ,ICMP     ,    74 ,0.5509539999999973
39.245163 ,10.50.3.254     ,10.50.2.42      ,ICMP     ,    74 ,1.0104979999999983
40.255133 ,10.50.3.254     ,10.50.2.42      ,ICMP     ,    74 ,1.0099700000000027
41.267939 ,10.50.3.254     ,10.50.2.42      ,ICMP     ,    74 ,1.0128059999999977
42.280182 ,10.50.3.254     ,10.50.2.42      ,ICMP     ,    74 ,1.012243000000005
