Protocolo ,Origem          ,Destino         ,Tamanho Médio ,Tamanho Mínimo ,Tamanho Máximo ,Soma Tamanho ,Duração Fluxo          ,Média Intervalo        ,Intervalo Mínimo       ,Intervalo Máximo       ,Taxa Média bps
TCP       ,10.50.2.42      ,108.139.166.43  ,       1494.0 ,          1494 ,          1494 ,        1494 ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,    11952.0
TCP       ,10.50.2.42      ,108.139.166.74  ,         54.0 ,            54 ,            54 ,         162 ,7.096774999999994      ,2.3655916666666648     ,0.017336999999997715   ,7.079437999999996      ,      182.61816106611823
TCP       ,10.50.2.42      ,108.139.166.74  ,         66.0 ,            66 ,            66 ,         660 ,7.095649999999999      ,0.7095649999999999     ,1.4000000000180535e-05 ,7.012818000000003      ,      744.1178750361138
TCP       ,10.50.2.42      ,108.139.166.74  ,       1494.0 ,          1494 ,          1494 ,        1494 ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,    11952.0
TCP       ,10.50.2.42      ,108.139.173.144 ,         54.0 ,            54 ,            54 ,         810 ,11.242792999999999     ,0.7495195333333332     ,0.016219999999997015   ,5.497413999999999      ,      576.369234940108
TCP       ,10.50.2.42      ,108.139.173.144 ,         66.0 ,            66 ,            66 ,        1386 ,10.675667000000004     ,0.5083650952380955     ,5.099999999913507e-05  ,8.633074999999998      ,     1038.6236288561638
TCP       ,10.50.2.42      ,108.139.173.144 ,         74.0 ,            74 ,            74 ,        4218 ,10.395632000000006     ,0.18237950877192993    ,1.4000000000180535e-05 ,8.715427000000005      ,     3245.978695667563
TCP       ,10.50.2.42      ,108.139.173.144 ,         82.0 ,            82 ,            82 ,        2542 ,10.240170999999997     ,0.33032809677419345    ,3.5999999994373866e-05 ,8.787526               ,     1985.9043369490614
TCP       ,10.50.2.42      ,108.139.173.144 ,         90.0 ,            90 ,            90 ,          90 ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,      720.0
TCP       ,10.50.2.42      ,108.139.173.144 ,       1494.0 ,          1494 ,          1494 ,        2988 ,10.342253              ,5.1711265              ,10.342253              ,10.342253              ,     2311.2952274518907
TCP       ,10.50.2.42      ,108.139.182.102 ,         54.0 ,            54 ,            54 ,         162 ,0.300260999999999      ,0.10008699999999966    ,0.013679000000003327   ,0.2865819999999957     ,     4316.244866965754
TCP       ,10.50.2.42      ,108.139.182.102 ,         66.0 ,            66 ,            66 ,         198 ,0.047193999999997516   ,0.015731333333332504   ,0.0232120000000009     ,0.023981999999996617   ,    33563.588591771906
TCP       ,10.50.2.42      ,108.139.182.102 ,         74.0 ,            74 ,            74 ,          74 ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,      592.0
TCP       ,10.50.2.42      ,108.139.182.102 ,       1494.0 ,          1494 ,          1494 ,        1494 ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,    11952.0
TCP       ,10.50.2.42      ,108.139.182.81  ,         54.0 ,            54 ,            54 ,        2322 ,9.436968               ,0.21946437209302327    ,1.2999999995599865e-05 ,5.239629000000001      ,     1968.4288428232458
TCP       ,10.50.2.42      ,108.139.182.81  ,         66.0 ,            66 ,            66 ,        1914 ,8.897908999999999      ,0.306824448275862      ,0.00024300000000465616 ,3.0820420000000013     ,     1720.8537421544772
TCP       ,10.50.2.42      ,108.139.182.81  ,         74.0 ,            74 ,            74 ,        1480 ,7.779612               ,0.3889806              ,6.799999999884676e-05  ,1.6600899999999967     ,     1521.9268004625424
TCP       ,10.50.2.42      ,108.139.182.81  ,         82.0 ,            82 ,            82 ,         656 ,3.018827999999999      ,0.3773534999999999     ,6.400000000184036e-05  ,2.978307000000001      ,     1738.4229906440517
TCP       ,10.50.2.42      ,108.139.182.81  ,         89.0 ,            89 ,            89 ,         267 ,0.9048760000000016     ,0.30162533333333386    ,0.29941800000000285    ,0.6054579999999987     ,     2360.5444281868413
TCP       ,10.50.2.42      ,108.139.182.81  ,       1494.0 ,          1494 ,          1494 ,        5976 ,7.091418999999995      ,1.7728547499999987     ,0.07764899999999386    ,6.912047000000001      ,     6741.669051003761
TCP       ,10.50.2.42      ,108.157.173.2   ,         54.0 ,            54 ,            54 ,         702 ,8.906605999999996      ,0.6851235384615382     ,0.07040899999999795    ,4.438986               ,      630.5432170234096
TCP       ,10.50.2.42      ,108.157.173.2   ,         66.0 ,            66 ,            66 ,        1848 ,8.468589999999999      ,0.3024496428571428     ,0.02061899999999639    ,3.4206059999999994     ,     1745.7451594657437
TCP       ,10.50.2.42      ,108.157.173.2   ,         74.0 ,            74 ,            74 ,        1184 ,6.364975999999999      ,0.3978109999999999     ,0.001252000000000919   ,3.7924599999999984     ,     1488.1438673138755
TCP       ,10.50.2.42      ,108.157.173.2   ,         82.0 ,            82 ,            82 ,         574 ,1.1300099999999986     ,0.1614299999999998     ,0.015403999999996643   ,0.5872749999999982     ,     4063.680852381842
TCP       ,10.50.2.42      ,108.157.173.2   ,         90.0 ,            90 ,            90 ,        1260 ,0.8419799999999995     ,0.06014142857142853    ,0.0002599999999972624  ,0.2600920000000002     ,    11971.780802394363
TCP       ,10.50.2.42      ,108.157.173.2   ,        281.0 ,           281 ,           281 ,         281 ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,     2248.0
TCP       ,10.50.2.42      ,108.157.173.2   ,       1494.0 ,          1494 ,          1494 ,        2988 ,8.105603000000002      ,4.052801500000001      ,8.105603000000002      ,8.105603000000002      ,     2949.0711548542404
TCP       ,10.50.2.42      ,108.158.173.124 ,         54.0 ,            54 ,            54 ,         540 ,1.8965299999999985     ,0.18965299999999985    ,0.000838999999999146   ,1.6759150000000034     ,     2277.8442734889527
TCP       ,10.50.2.42      ,108.158.173.124 ,         66.0 ,            66 ,            66 ,         396 ,0.8404640000000043     ,0.14007733333333405    ,0.013617000000003543   ,0.7085489999999979     ,     3769.3464562431986
TCP       ,10.50.2.42      ,108.158.173.124 ,       1494.0 ,          1494 ,          1494 ,        4482 ,1.767117000000006      ,0.589039000000002      ,0.09134700000000606    ,1.67577                ,    20290.676848222203
TCP       ,10.50.2.42      ,108.158.173.61  ,         54.0 ,            54 ,            54 ,         756 ,1.9542589999999933     ,0.1395899285714281     ,3.500000000400405e-05  ,0.844768000000002      ,     3094.7791464693373
TCP       ,10.50.2.42      ,108.158.173.61  ,         66.0 ,            66 ,            66 ,        1122 ,0.31837699999999813    ,0.018728058823529303   ,7.999999999697138e-05  ,0.08459700000000225    ,    28192.99132789131
TCP       ,10.50.2.42      ,108.158.173.61  ,         74.0 ,            74 ,            74 ,         518 ,0.15781700000000143    ,0.022545285714285917   ,0.010633999999996036   ,0.07239400000000273    ,    26258.261150572893
TCP       ,10.50.2.42      ,108.158.173.61  ,         82.0 ,            82 ,            82 ,         656 ,0.09558699999999476    ,0.011948374999999345   ,0.000332000000000221   ,0.03409500000000065    ,    54902.86336008336
